id,created_at,text,day_label,relevance_label
592084768403030017,Sat Apr 25 21:56:23 +0000 2015,earthquake report m  4 9  nepal   ,0,0
591909766785605632,Sat Apr 25 10:21:00 +0000 2015, hi its amy from the bay here   could you give me a follow back so i can speak to you about the nepal  amp  local people involved?,0,0
593240793890103297,Wed Apr 29 02:30:01 +0000 2015,nepal tragedy  devastating loss of human life and ancient heritage ,4,0
592200532128759809,Sun Apr 26 05:36:24 +0000 2015,excellent help       ,1,0
591902850537652224,Sat Apr 25 09:53:31 +0000 2015,  really pathetic  still we dont know how much the toll will rise   nepalearthquake ,0,0
592612161479839746,Mon Apr 27 08:52:04 +0000 2015,five mn pound uk aid for quake hit nepal   the hindu ,2,0
591903384019447809,Sat Apr 25 09:55:38 +0000 2015,rt  all shiv sena mps will give their 1 months salary to  s relief fund for  nepalquakerelief    standwithnepal,0,0
591903274950856706,Sat Apr 25 09:55:12 +0000 2015,"death toll in nepal from quake jumps to 2,430, home affairs ministry says  china, india deaths lift toll over 2,500  ",0,0
592690444015927296,Mon Apr 27 14:03:08 +0000 2015,im told that a girl rescued here  a 40 year woman is still trapped in debris but no rescue yet  nepalquake ,2,0
593028453709975554,Tue Apr 28 12:26:15 +0000 2015, where r all the supplies going? people r saying they r not gettin anything nd u say crores of supplies hav been sent  nepalearthquake,3,0
592927984035717120,Tue Apr 28 05:47:02 +0000 2015,  provides safe spaces 4  children w opp 2 play wi other kids  amp  talk to trained counselors ,3,0
591903208320045056,Sat Apr 25 09:54:56 +0000 2015,a deep condolence towards peoples of nepal and india who lost their lives in  earthquake  may god gives strengthen to their family ,0,0
591903245716443137,Sat Apr 25 09:55:05 +0000 2015,rt  a magnitude 6 7 aftershock rumbles katmandu  death toll rises  ,0,0
592939706788216832,Tue Apr 28 06:33:37 +0000 2015, so have we  read our friends blog from lamjung where they are working ,3,0
592663984999903232,Mon Apr 27 12:17:59 +0000 2015,so gujju ladies group i know sending theplas for  nepalearthquake   baoo saras che,2,0
591903011359719424,Sat Apr 25 09:54:09 +0000 2015,rt  artofliving volunteers on blood  amp  food donation drives our centres are now shelters for victims   nepalquake ,0,0
592594169756983296,Mon Apr 27 07:40:34 +0000 2015,this is how we spent the night   nepalquake ,2,0
591903021107314688,Sat Apr 25 09:54:11 +0000 2015,rt  google executive among hundreds dead from  nepal quake   abc15 ,0,0
592639351676399617,Mon Apr 27 10:40:06 +0000 2015,good luck to this great team  ,2,0
591903296643735552,Sat Apr 25 09:55:17 +0000 2015,"rt  stay strong, must be better more than this  prayfornepal ",0,0
592200592409366528,Sun Apr 26 05:36:38 +0000 2015,nepal saturday has left a plano man stranded on mount everest      is safe but stuck on the treacherous mountain    ,1,0
591903044381474816,Sat Apr 25 09:54:17 +0000 2015,rt  my thoughts are with everyone in nepal  sending my love ,0,0
592635326042087424,Mon Apr 27 10:24:07 +0000 2015,"my friend from nepal at  started this to personally help those affected, please support! ",2,0
592984783099072513,Tue Apr 28 09:32:44 +0000 2015,if you are in  mortdale go to grind cafe all tips this week going to  nepalearthquake appeal        nepal   sydney,3,0
592099765271199744,Sat Apr 25 22:55:59 +0000 2015,israel sending aid teams to nepal after quake  israel was sending a delegation to nepal saturday to determine     ,0,0
592769741565067265,Mon Apr 27 19:18:14 +0000 2015,first glimpse of devastation wrought on remote region at heart of nepal quake   and now wood runs low for cremations ,2,0
591913829363294209,Sat Apr 25 10:37:08 +0000 2015,my thoughts go out to my  gurkha brethren  i hope your families are safe!  nepalquake  nepalearthquake ,0,0
592068612254527488,Sat Apr 25 20:52:11 +0000 2015,pls rt this ,0,0
591963288692338688,Sat Apr 25 13:53:40 +0000 2015,    hello,0,0
592594908306743296,Mon Apr 27 07:43:30 +0000 2015,darkha school children  darkharelief donate to villages 12 5 miles from epicenter  nepalquake  ,2,0
591902987871604737,Sat Apr 25 09:54:03 +0000 2015,rt  baba ramdev may emerge as face of non governmental relief work by india in nepal crisis  ,0,0
591902989687889920,Sat Apr 25 09:54:04 +0000 2015,rt   nepal  a race against time to save people after the largest earthquake in more than 80 years  ,0,0
591903242277265408,Sat Apr 25 09:55:04 +0000 2015,nepal is not the big one  next himalayan earthquake maybe closer to home     _   news ,0,0
591903102896209920,Sat Apr 25 09:54:31 +0000 2015, sir plz rt this tweet  nepalquakerelief ,0,0
591902965893435392,Sat Apr 25 09:53:58 +0000 2015,"rt  our team in nepal is working closely with the government, helping in hospitals  amp  rescue work  our centres are converted into sh     _",0,0
591902738583199745,Sat Apr 25 09:53:04 +0000 2015,rt  at least 150 indians reach raxaul in bihar from earthquake hit nepal   msghelpearthquakevictims,0,0
592682166573740032,Mon Apr 27 13:30:14 +0000 2015," dear mr  gupta, i hope you can consider helping with your innovative hexayurt to help the current situation in nepal ",2,0
593164682506022913,Tue Apr 28 21:27:35 +0000 2015, so glad you made it safely! let me know how i can help! keep up the great work  amp  be the voice for us back home       _                 _   c           nepal,3,0
591902832615235584,Sat Apr 25 09:53:26 +0000 2015,rt  700 people found dead after a devastating 7 8 magnitude earthquake hits nepal ,0,0
592846970865229826,Tue Apr 28 00:25:07 +0000 2015,"nepal earthquake death toll nears 3,900  video   omaha  portland  colorado  utah  idaho  jacksonhole  rocksprings  usa",3,0
591902767331028992,Sat Apr 25 09:53:11 +0000 2015,rt  firefighters from  chester  amp   winsford fly to nepal to help with earthquake rescue mission  ,0,0
592594842179403777,Mon Apr 27 07:43:14 +0000 2015," delhi sikh body sends 25,000 food packets to  nepal  via  ",2,0
